Per_ID,Occupation,LeaseStart_Dt,LeaseEnd_Dt,LeaseTerm,Unit_ID
51,"Clinical embryologist","2019-12-01 00:00:00","2023-11-30 00:00:00",47,1
52,"Media planner","2019-07-01 00:00:00","2022-01-30 00:00:00",30,2
53,"Forensic psychologist","2019-11-01 00:00:00","2026-06-30 00:00:00",79,3
54,"Clinical research associate","2020-03-01 00:00:00","2025-11-30 00:00:00",68,4
55,Artist,"2020-03-01 00:00:00","2026-11-30 00:00:00",80,5
56,"Designer, fashion/clothing","2019-07-01 00:00:00","2022-06-30 00:00:00",35,6
57,Ergonomist,"2019-06-01 00:00:00","2024-12-30 00:00:00",66,7
58,"Hospital pharmacist","2020-02-01 00:00:00","2022-01-30 00:00:00",23,8
59,"Medical physicist","2019-10-01 00:00:00","2022-04-30 00:00:00",30,9
60,"Print production planner","2019-02-01 00:00:00","2025-06-30 00:00:00",76,10
61,"Drilling engineer","2020-10-01 00:00:00","2024-04-30 00:00:00",42,11
62,"Producer, radio","2020-12-01 00:00:00","2025-01-30 00:00:00",49,12
63,"Agricultural consultant","2020-05-01 00:00:00","2026-07-30 00:00:00",74,13
64,"Engineer, manufacturing","2019-02-01 00:00:00","2024-09-30 00:00:00",67,14
65,"Engineer, civil (contracting)","2020-08-01 00:00:00","2022-05-30 00:00:00",21,15
66,"Site engineer","2019-07-01 00:00:00","2022-01-30 00:00:00",30,16
67,"Buyer, industrial","2019-04-01 00:00:00","2024-10-30 00:00:00",66,17
68,"Scientist, clinical","2019-11-01 00:00:00","2026-10-30 00:00:00",83,18
69,"Accountant, chartered certified","2019-03-01 00:00:00","2024-04-30 00:00:00",61,19
70,Paramedic,"2020-11-01 00:00:00","2023-05-30 00:00:00",30,20
71,"Fisheries officer","2020-01-01 00:00:00","2023-05-30 00:00:00",40,21
72,"Engineer, automotive","2020-06-01 00:00:00","2026-11-30 00:00:00",77,22
73,"Amenity horticulturist","2020-12-01 00:00:00","2025-06-30 00:00:00",54,23
74,"Psychologist, prison and probation services","2020-05-01 00:00:00","2025-07-30 00:00:00",62,24
75,Orthoptist,"2019-06-01 00:00:00","2026-02-28 00:00:00",80,25
76,"Technical brewer","2020-10-01 00:00:00","2026-09-30 00:00:00",71,26
77,"Occupational psychologist","2019-08-01 00:00:00","2022-11-30 00:00:00",39,27
78,"Programmer, applications","2019-05-01 00:00:00","2024-10-30 00:00:00",65,28
79,Phytotherapist,"2019-11-01 00:00:00","2024-02-28 00:00:00",51,29
80,Haematologist,"2019-09-01 00:00:00","2023-11-30 00:00:00",50,30
81,"Clinical psychologist","2019-09-01 00:00:00","2022-07-30 00:00:00",34,31
